Major,Total,Rank,Major_code,Men,Women,old,Major_category,Median,Space,ShareWomen,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs,Total_bin,temp,Median_bin,old_hist_column,old_midpoint,Histogram_column,rank1,midpoint
Computer Hardware Engineers,63996.2077,92,5206,413,973,Architecture and Engineering,Job can be made virtual,114200,Office,0.702020202,8,1080,828,433,529,33,0.029649596,34000,45000,434,593,37,"(124.0, 20124.0]",1,"(33500, 36000]",11,27250,3,3,110000
Public Relations and Fundraising Managers,76903.99439,7,6202,2110,1667,Management,Job can be conducted virtually,114800,Office,0.441355573,51,2912,2924,296,2482,308,0.095652174,53000,72000,1768,314,259,"(124.0, 20124.0]",1,"(61000, 63500]",11,29750,4,4,110000
Lawyers,828119.7867,,,,,Legal Occupations,Job can be made virtual,115100,Office,,,,,,,,,,,,,,,,,11,32250,5,5,110000
Aerospace Engineers,70034.68865,87,6209,6184,18313,Architecture and Engineering,Job can be made virtual,115200,Other/Mixed,0.747560926,264,20760,18550,3767,15446,1315,0.059569649,28000,45000,2406,9629,1906,"(20124.0, 40124.0]",1,"(33500, 36000]",11,34750,6,6,110000
Political Scientists,7815.450436,149,6006,3240,17790,"Life, Physical, and Social Science",Job can be conducted virtually,115600,Office,0.845934379,204,17579,13262,6140,9965,1128,0.060298284,23000,40000,5139,9738,3426,"(20124.0, 40124.0]",1,"(28500, 31000]",11,37250,7,7,110000
Purchasing Managers,73675.55884,12,2401,12953,2105,Management,Job can be conducted virtually,118100,Office,0.139792801,147,11391,11106,2724,8790,794,0.065162085,42000,70000,8184,2425,372,"(124.0, 20124.0]",1,"(58500, 61000]",11,39750,8,8,110000
Computer and Information Research Scientists,33086.73927,65,1100,6053,4346,Computer and Mathematical,Job can be conducted virtually,118400,Office,0.4179248,158,8884,7589,2031,5888,178,0.019642463,30000,50000,2418,4717,839,"(124.0, 20124.0]",1,"(38500, 41000]",11,42250,9,9,110000
Compensation and Benefits Managers,14999.87128,14,5008,2949,1330,Management,Job can be conducted virtually,121000,Office,0.310820285,22,3307,2751,878,1967,78,0.023042836,39000,65000,2626,391,81,"(124.0, 20124.0]",1,"(58500, 61000]",12,22250,1,1,120000
Physicists,19284.46393,131,2399,3654,6496,"Life, Physical, and Social Science",Job can be made virtual,121000,Lab,0.64,126,8691,7264,2202,5816,547,0.059211951,30000,45000,5284,2438,657,"(124.0, 20124.0]",1,"(31000, 33500]",12,24750,2,2,120000
Sales Managers,394384.0853,6,2418,2200,373,Management,Job can be conducted virtually,122200,Office,0.144966965,17,1857,2038,264,1449,400,0.177226407,50000,102000,1142,657,244,"(124.0, 20124.0]",1,"(63500, 66000]",12,27250,3,3,120000
Natural Sciences Managers,63407.09749,29,2499,7398,1735,Management,Job can be conducted virtually,123900,Office,0.189970437,118,7428,6811,1662,5476,597,0.074392523,39000,65000,3445,2426,365,"(124.0, 20124.0]",1,"(48500, 51000]",12,29750,4,4,120000
Air Traffic Controllers,33117.57403,,,,,Transportation and Material Moving,"Cannot work remotely, essential",124500,Industrial,,,,,,,,,,,,,,,,,12,32250,5,5,120000
Pharmacists,311424.2994,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",125900,Institutional,,,,,,,,,,,,,,,,,12,34750,6,6,120000
Financial Managers,645125.3231,10,2408,65511,16016,Management,Job can be conducted virtually,126300,Office,0.196450256,631,61928,55450,12695,41413,3895,0.059173845,45000,72000,45829,10874,3170,"(80124.0, 100124.0]",1,"(58500, 61000]",12,37250,7,7,120000
